62.0,90.0,-0.9966027588251469
89.0,27.0,-1.0
10.0,22.0,-0.8722828242790888
27.0,21.0,-0.9107736980650764
19.0,67.0,-0.9592568451331652
10.0,26.0,-0.8810152788447362
30.0,78.0,-0.9865940395625657
78.0,64.0,-0.9989738911193755
53.0,84.0,-0.9929991853112109
86.0,23.0,-0.9992526158445441
48.0,70.0,-0.9899820436291282
12.0,34.0,-0.9536958625827762
16.0,46.0,-0.9564052187330353
18.0,28.0,-0.9242911877394636
34.0,26.0,-0.9853165666236344
42.0,22.0,-0.9143318055445055
14.0,29.0,-0.9318160920774816
12.0,23.0,-0.8967151289714573
62.0,74.0,-0.9955811607030327
56.0,39.0,-0.9930371977817233
10.0,27.0,-0.896264443766731
65.0,61.0,-0.9965577318887441
61.0,59.0,-0.9951287877013405
38.0,32.0,-0.9890958512016382
20.0,26.0,-0.9411488348837939
72.0,50.0,-0.9974340491685032
65.0,82.0,-0.9971218186614018
18.0,32.0,-0.9402947846818689
22.0,41.0,-0.9779568757913553
26.0,54.0,-0.9815416179185767
20.0,27.0,-0.9718157962860531
13.0,28.0,-0.916435016921224
20.0,56.0,-0.9737408457281228
27.0,44.0,-0.9781828046962199
10.0,34.0,-0.9303776127428512
78.0,53.0,-0.9989041706982643
29.0,24.0,-0.982456578818852
69.0,56.0,-0.9969460628065973
52.0,48.0,-0.9915384322190999
51.0,51.0,-0.9922418040911808
58.0,36.0,-0.9949647532729103
69.0,30.0,-0.9968843458406033
19.0,70.0,-0.9782550407550407
24.0,25.0,-0.91621086972992
49.0,33.0,-0.9909737823925084
58.0,35.0,-0.9934541792547834
74.0,41.0,-0.9986493015270811
41.0,23.0,-0.986943675476172
63.0,25.0,-0.9939792008757525
74.0,27.0,-0.9984507706555306
