10.0,20.0,-0.896279663574585
30.0,78.0,-0.9865940395625657
108.0,19.0,-1.0
10.0,17.0,-0.8652902739068354
10.0,18.0,-0.8840362101231666
89.0,18.0,-0.999920445505171
52.0,28.0,-0.9925364850087388
19.0,71.0,-0.9775723525723525
10.0,30.0,-0.9131338560958824
34.0,60.0,-0.9911225273385206
11.0,22.0,-0.9045060340032407
69.0,46.0,-0.9970077797725913
62.0,38.0,-0.9939654303341839
12.0,64.0,-0.9398069401450685
17.0,26.0,-0.9499059961777353
21.0,65.0,-0.9741583104044887
17.0,20.0,-0.9221734313822475
26.0,68.0,-0.9821871921182267
26.0,54.0,-0.9815416179185767
11.0,35.0,-0.9289749767974368
16.0,64.0,-0.96535040300083
31.0,41.0,-0.9879957735923629
74.0,32.0,-0.9982523317329083
44.0,50.0,-0.9885599165377559
15.0,36.0,-0.9428805537571856
10.0,33.0,-0.9260591034555946
62.0,43.0,-0.9967689822294022
48.0,19.0,-0.9896610491710501
22.0,57.0,-0.9765531629632468
45.0,39.0,-0.9905403139566955
78.0,56.0,-0.9992527728038209
23.0,24.0,-0.9714221186529203
28.0,21.0,-0.960608884397296
34.0,23.0,-0.9832713794110853
22.0,25.0,-0.9532595060700793
13.0,22.0,-0.9362011714494272
67.0,24.0,-0.9941226691393483
84.0,23.0,-0.9985412107950401
29.0,44.0,-0.9848650421787579
25.0,18.0,-0.9571579983964028
40.0,30.0,-0.9860641106886354
30.0,51.0,-0.9855908786890728
40.0,37.0,-0.9871405435854105
15.0,21.0,-0.9339090808005496
76.0,48.0,-0.9986798679867986
82.0,24.0,-0.9963654702608319
80.0,31.0,-0.998539611039611
19.0,27.0,-0.9722324892023293
28.0,48.0,-0.9796923292140813
89.0,36.0,-0.9999204644873937
