14.0,33.0,-0.9986033519553073
10.0,37.0,-0.9985832641768999
12.0,33.0,-0.9985832641768999
12.0,34.0,-1.0
12.0,33.0,-0.9985832641768999
12.0,34.0,-1.0
11.0,34.0,-0.9998686112206018
10.0,33.0,-0.9973636115228972
10.0,30.0,-0.9908054875249901
11.0,31.0,-0.9947272230457946
10.0,31.0,-0.9933761816123936
19.0,30.0,-1.0
11.0,30.0,-0.9921565289583909
10.0,38.0,-0.9999343056103009
10.0,36.0,-0.9983861810078025
18.0,33.0,-1.0
20.0,29.0,-1.0
12.0,31.0,-0.9974293059125964
12.0,32.0,-0.9984518753975017
10.0,32.0,-0.9960125700894964
18.0,30.0,-0.9982078853046594
14.0,33.0,-0.9985320151026892
12.0,35.0,-1.0
17.0,34.0,-1.0
11.0,35.0,-0.9986489585665991
12.0,34.0,-0.9987146529562982
12.0,34.0,-0.9987146529562982
10.0,34.0,-0.9973636115228972
10.0,33.0,-0.9961439588688946
10.0,30.0,-0.5
10.0,31.0,-0.9920908345686918
12.0,30.0,-0.9636704958558493
10.0,41.0,-0.9987146529562982
10.0,41.0,-0.9987146529562982
10.0,43.0,-0.9999343056103009
10.0,38.0,-0.9985832641768999
11.0,41.0,-0.9998686112206018
20.0,31.0,-1.0
20.0,31.0,-1.0
20.0,31.0,-1.0
13.0,31.0,-0.9946199247098363
12.0,32.0,-0.9973636115228972
12.0,32.0,-0.9973636115228972
11.0,32.0,-0.9933761816123936
11.0,32.0,-0.9933761816123936
18.0,31.0,-0.9982078853046594
18.0,34.0,-1.0
10.0,35.0,-0.9973636115228972
10.0,31.0,-0.5
12.0,30.0,-0.5
